Time;Power;Power fuel;Power battery;line
0;0;0;0;1.511
1;0;0;0;1.512
2;0;0;0;1.513
3;0;0;0;1.514
4;0;0;0;1.515
5;0;0;0;1.516
6;1.345;0.605;0.741;1.517
7;0.842;0.379;0.463;1.518
8;0.641;0.288;0.353;1.519
9;1.842;0.829;1.013;1.520
10;1.641;0.738;0.903;1.521
11;0.641;0.288;0.353;1.522
12;2.643;1.189;1.454;1.523
13;0.641;0.288;0.353;1.524
14;0.641;0.288;0.353;1.525
15;0.641;0.288;0.353;1.526
16;0.942;0.424;0.518;1.527
17;3.311;1.491;1.821;1.528
18;3.311;1.491;1.821;1.529
19;3.221;1.449;1.772;1.530
20;3.131;1.409;1.722;1.531
21;2.143;0.964;1.179;1.532
22;0;0;0;1.533
23;0;0;0;1.534
24;0;0;0;1.535
